#initialSiteID,finalSiteID,s_x[Ang.],s_y[Ang.],s_z[Ang.],emig[eV],v0[Hz]
1,7,-1.2067005466754517,1.2067005466754517,0.0,0.25,1.0e+13
1,8,1.2067005466754515,1.2067005466754517,0.0,0.25,1.0e+13
1,9,0.0,-0.9114043880245482,-0.9114043880245484,0.17,1.0e+13
1,10,0.0,-0.9114043880245482,0.9114043880245482,0.17,1.0e+13
2,7,-1.2067005466754517,-1.2067005466754515,0.0,0.25,1.0e+13
2,8,1.2067005466754515,-1.2067005466754515,0.0,0.25,1.0e+13
2,9,0.0,0.9114043880245484,-0.9114043880245484,0.17,1.0e+13
2,10,0.0,0.9114043880245484,0.9114043880245482,0.17,1.0e+13
3,7,0.9114043880245482,0.0,-0.9114043880245482,0.17,1.0e+13
3,8,-0.9114043880245484,0.0,-0.9114043880245482,0.17,1.0e+13
3,11,0.0,-1.2067005466754517,1.2067005466754517,0.25,1.0e+13
3,12,0.0,1.2067005466754515,1.2067005466754517,0.25,1.0e+13
4,7,0.9114043880245482,0.0,0.9114043880245484,0.17,1.0e+13
4,8,-0.9114043880245484,0.0,0.9114043880245484,0.17,1.0e+13
4,11,0.0,-1.2067005466754517,-1.2067005466754515,0.25,1.0e+13
4,12,0.0,1.2067005466754515,-1.2067005466754515,0.25,1.0e+13
5,9,1.2067005466754517,0.0,1.2067005466754515,0.25,1.0e+13
5,10,1.2067005466754517,0.0,-1.2067005466754517,0.25,1.0e+13
5,11,-0.9114043880245482,0.9114043880245482,0.0,0.17,1.0e+13
5,12,-0.9114043880245482,-0.9114043880245484,0.0,0.17,1.0e+13
6,9,-1.2067005466754515,0.0,1.2067005466754515,0.25,1.0e+13
6,10,-1.2067005466754515,0.0,-1.2067005466754517,0.25,1.0e+13
6,11,0.9114043880245484,0.9114043880245482,0.0,0.17,1.0e+13
6,12,0.9114043880245484,-0.9114043880245484,0.0,0.17,1.0e+13
7,1,1.2067005466754517,-1.2067005466754517,0.0,0.25,1.0e+13
7,2,1.2067005466754517,1.2067005466754515,0.0,0.25,1.0e+13
7,3,-0.9114043880245482,0.0,0.9114043880245482,0.17,1.0e+13
7,4,-0.9114043880245482,0.0,-0.9114043880245484,0.17,1.0e+13
8,1,-1.2067005466754515,-1.2067005466754517,0.0,0.25,1.0e+13
8,2,-1.2067005466754515,1.2067005466754515,0.0,0.25,1.0e+13
8,3,0.9114043880245484,0.0,0.9114043880245482,0.17,1.0e+13
8,4,0.9114043880245484,0.0,-0.9114043880245484,0.17,1.0e+13
9,1,0.0,0.9114043880245482,0.9114043880245484,0.17,1.0e+13
9,2,0.0,-0.9114043880245484,0.9114043880245484,0.17,1.0e+13
9,5,-1.2067005466754517,0.0,-1.2067005466754515,0.25,1.0e+13
9,6,1.2067005466754515,0.0,-1.2067005466754515,0.25,1.0e+13
10,1,0.0,0.9114043880245482,-0.9114043880245482,0.17,1.0e+13
10,2,0.0,-0.9114043880245484,-0.9114043880245482,0.17,1.0e+13
10,5,-1.2067005466754517,0.0,1.2067005466754517,0.25,1.0e+13
10,6,1.2067005466754515,0.0,1.2067005466754517,0.25,1.0e+13
11,3,0.0,1.2067005466754517,-1.2067005466754517,0.25,1.0e+13
11,4,0.0,1.2067005466754517,1.2067005466754515,0.25,1.0e+13
11,5,0.9114043880245482,-0.9114043880245482,0.0,0.17,1.0e+13
11,6,-0.9114043880245484,-0.9114043880245482,0.0,0.17,1.0e+13
12,3,0.0,-1.2067005466754515,-1.2067005466754517,0.25,1.0e+13
12,4,0.0,-1.2067005466754515,1.2067005466754515,0.25,1.0e+13
12,5,0.9114043880245482,0.9114043880245484,0.0,0.17,1.0e+13
12,6,-0.9114043880245484,0.9114043880245484,0.0,0.17,1.0e+13
