# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,7,-1.2067005467,1.2067005467,0.0000000000,3.9816365568e+11
1,8,1.2067005467,1.2067005467,0.0000000000,3.9816365568e+11
1,9,0.0000000000,-0.9114043880,-0.9114043880,1.1169710017e+12
1,10,0.0000000000,-0.9114043880,0.9114043880,1.1169710017e+12
2,7,-1.2067005467,-1.2067005467,0.0000000000,3.9816365568e+11
2,8,1.2067005467,-1.2067005467,0.0000000000,3.9816365568e+11
2,9,0.0000000000,0.9114043880,-0.9114043880,1.1169710017e+12
2,10,0.0000000000,0.9114043880,0.9114043880,1.1169710017e+12
3,7,0.9114043880,0.0000000000,-0.9114043880,1.1169710017e+12
3,8,-0.9114043880,0.0000000000,-0.9114043880,1.1169710017e+12
3,11,0.0000000000,-1.2067005467,1.2067005467,3.9816365568e+11
3,12,0.0000000000,1.2067005467,1.2067005467,3.9816365568e+11
4,7,0.9114043880,0.0000000000,0.9114043880,1.1169710017e+12
4,8,-0.9114043880,0.0000000000,0.9114043880,1.1169710017e+12
4,11,0.0000000000,-1.2067005467,-1.2067005467,3.9816365568e+11
4,12,0.0000000000,1.2067005467,-1.2067005467,3.9816365568e+11
5,9,1.2067005467,0.0000000000,1.2067005467,3.9816365568e+11
5,10,1.2067005467,0.0000000000,-1.2067005467,3.9816365568e+11
5,11,-0.9114043880,0.9114043880,0.0000000000,1.1169710017e+12
5,12,-0.9114043880,-0.9114043880,0.0000000000,1.1169710017e+12
6,9,-1.2067005467,0.0000000000,1.2067005467,3.9816365568e+11
6,10,-1.2067005467,0.0000000000,-1.2067005467,3.9816365568e+11
6,11,0.9114043880,0.9114043880,0.0000000000,1.1169710017e+12
6,12,0.9114043880,-0.9114043880,0.0000000000,1.1169710017e+12
7,1,1.2067005467,-1.2067005467,0.0000000000,3.9816365568e+11
7,2,1.2067005467,1.2067005467,0.0000000000,3.9816365568e+11
7,3,-0.9114043880,0.0000000000,0.9114043880,1.1169710017e+12
7,4,-0.9114043880,0.0000000000,-0.9114043880,1.1169710017e+12
8,1,-1.2067005467,-1.2067005467,0.0000000000,3.9816365568e+11
8,2,-1.2067005467,1.2067005467,0.0000000000,3.9816365568e+11
8,3,0.9114043880,0.0000000000,0.9114043880,1.1169710017e+12
8,4,0.9114043880,0.0000000000,-0.9114043880,1.1169710017e+12
9,1,0.0000000000,0.9114043880,0.9114043880,1.1169710017e+12
9,2,0.0000000000,-0.9114043880,0.9114043880,1.1169710017e+12
9,5,-1.2067005467,0.0000000000,-1.2067005467,3.9816365568e+11
9,6,1.2067005467,0.0000000000,-1.2067005467,3.9816365568e+11
10,1,0.0000000000,0.9114043880,-0.9114043880,1.1169710017e+12
10,2,0.0000000000,-0.9114043880,-0.9114043880,1.1169710017e+12
10,5,-1.2067005467,0.0000000000,1.2067005467,3.9816365568e+11
10,6,1.2067005467,0.0000000000,1.2067005467,3.9816365568e+11
11,3,0.0000000000,1.2067005467,-1.2067005467,3.9816365568e+11
11,4,0.0000000000,1.2067005467,1.2067005467,3.9816365568e+11
11,5,0.9114043880,-0.9114043880,0.0000000000,1.1169710017e+12
11,6,-0.9114043880,-0.9114043880,0.0000000000,1.1169710017e+12
12,3,0.0000000000,-1.2067005467,-1.2067005467,3.9816365568e+11
12,4,0.0000000000,-1.2067005467,1.2067005467,3.9816365568e+11
12,5,0.9114043880,0.9114043880,0.0000000000,1.1169710017e+12
12,6,-0.9114043880,0.9114043880,0.0000000000,1.1169710017e+12
