# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,9,0.0000000000,-0.9114036400,-0.9114036400,5.2022179395e+08
1,10,0.0000000000,-0.9114036400,0.9114036400,5.2022179395e+08
2,9,0.0000000000,0.9114036400,-0.9114036400,5.2022179395e+08
2,10,0.0000000000,0.9114036400,0.9114036400,5.2022179395e+08
3,7,0.9114036400,0.0000000000,-0.9114036400,5.2022179395e+08
3,8,-0.9114036400,0.0000000000,-0.9114036400,5.2022179395e+08
4,7,0.9114036400,0.0000000000,0.9114036400,5.2022179395e+08
4,8,-0.9114036400,0.0000000000,0.9114036400,5.2022179395e+08
5,11,-0.9114036400,0.9114036400,0.0000000000,5.2022179395e+08
5,12,-0.9114036400,-0.9114036400,0.0000000000,5.2022179395e+08
6,11,0.9114036400,0.9114036400,0.0000000000,5.2022179395e+08
6,12,0.9114036400,-0.9114036400,0.0000000000,5.2022179395e+08
7,3,-0.9114036400,0.0000000000,0.9114036400,5.2022179395e+08
7,4,-0.9114036400,0.0000000000,-0.9114036400,5.2022179395e+08
8,3,0.9114036400,0.0000000000,0.9114036400,5.2022179395e+08
8,4,0.9114036400,0.0000000000,-0.9114036400,5.2022179395e+08
9,1,0.0000000000,0.9114036400,0.9114036400,5.2022179395e+08
9,2,0.0000000000,-0.9114036400,0.9114036400,5.2022179395e+08
10,1,0.0000000000,0.9114036400,-0.9114036400,5.2022179395e+08
10,2,0.0000000000,-0.9114036400,-0.9114036400,5.2022179395e+08
11,5,0.9114036400,-0.9114036400,0.0000000000,5.2022179395e+08
11,6,-0.9114036400,-0.9114036400,0.0000000000,5.2022179395e+08
12,5,0.9114036400,0.9114036400,0.0000000000,5.2022179395e+08
12,6,-0.9114036400,0.9114036400,0.0000000000,5.2022179395e+08
1,7,-1.2067013600,1.2067013600,0.0000000000,5.0150731060e+06
1,8,1.2067013600,1.2067013600,0.0000000000,5.0150731060e+06
2,7,-1.2067013600,-1.2067013600,0.0000000000,5.0150731060e+06
2,8,1.2067013600,-1.2067013600,0.0000000000,5.0150731060e+06
3,11,0.0000000000,-1.2067013600,1.2067013600,5.0150731060e+06
3,12,0.0000000000,1.2067013600,1.2067013600,5.0150731060e+06
4,11,0.0000000000,-1.2067013600,-1.2067013600,5.0150731060e+06
4,12,0.0000000000,1.2067013600,-1.2067013600,5.0150731060e+06
5,9,1.2067013600,0.0000000000,1.2067013600,5.0150731060e+06
5,10,1.2067013600,0.0000000000,-1.2067013600,5.0150731060e+06
6,9,-1.2067013600,0.0000000000,1.2067013600,5.0150731060e+06
6,10,-1.2067013600,0.0000000000,-1.2067013600,5.0150731060e+06
7,1,1.2067013600,-1.2067013600,0.0000000000,5.0150731060e+06
7,2,1.2067013600,1.2067013600,0.0000000000,5.0150731060e+06
8,1,-1.2067013600,-1.2067013600,0.0000000000,5.0150731060e+06
8,2,-1.2067013600,1.2067013600,0.0000000000,5.0150731060e+06
9,5,-1.2067013600,0.0000000000,-1.2067013600,5.0150731060e+06
9,6,1.2067013600,0.0000000000,-1.2067013600,5.0150731060e+06
10,5,-1.2067013600,0.0000000000,1.2067013600,5.0150731060e+06
10,6,1.2067013600,0.0000000000,1.2067013600,5.0150731060e+06
11,3,0.0000000000,1.2067013600,-1.2067013600,5.0150731060e+06
11,4,0.0000000000,1.2067013600,1.2067013600,5.0150731060e+06
12,3,0.0000000000,-1.2067013600,-1.2067013600,5.0150731060e+06
12,4,0.0000000000,-1.2067013600,1.2067013600,5.0150731060e+06
