# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,19,0.0000000000,-0.9999992066,0.9999992066,3.2754920976e+11
1,1097,0.0000000000,-0.9999992066,-0.9999992904,3.2754920976e+11
2,20,0.0000000000,0.9999977815,-0.9999977815,1.1059549655e+12
2,1098,0.0000000000,0.9999977815,1.0000002963,3.2754920976e+11
3,18,0.0000000000,0.9999977815,0.9999992066,4.1298642124e+11
3,1100,0.0000000000,0.9999977815,-0.9999992904,1.1947870728e+12
4,17,0.0000000000,-0.9999992066,-0.9999977815,1.1947870728e+12
4,1099,0.0000000000,-0.9999992066,1.0000002963,1.1947870728e+12
5,16,0.9999992066,0.0000000000,-0.9999992066,3.2754920976e+11
5,1094,-0.9999992904,0.0000000000,-0.9999992066,3.2754920976e+11
6,15,-0.9999977815,0.0000000000,0.9999977815,3.2754920976e+11
6,1093,1.0000002963,0.0000000000,0.9999977815,3.2754920976e+11
7,13,0.9999992066,0.0000000000,0.9999977815,2.1504569935e+10
7,1095,-0.9999992904,0.0000000000,0.9999977815,2.1504569935e+10
8,14,-0.9999977815,0.0000000000,-0.9999992066,4.1298642124e+11
8,1096,1.0000002963,0.0000000000,-0.9999992066,1.1947870728e+12
9,21,-0.9999992066,0.9999992066,0.0000000000,3.2754920976e+11
9,1103,-0.9999992066,-0.9999992904,0.0000000000,3.2754920976e+11
10,22,0.9999977815,-0.9999977815,0.0000000000,3.2754920976e+11
10,1104,0.9999977815,1.0000002963,0.0000000000,3.2754920976e+11
11,24,0.9999977815,0.9999992066,0.0000000000,4.1298642124e+11
11,1102,0.9999977815,-0.9999992904,0.0000000000,1.1947870728e+12
12,23,-0.9999992066,-0.9999977815,0.0000000000,8.3120763698e+10
12,1101,-0.9999992066,1.0000002963,0.0000000000,3.8228098852e+11
13,7,-0.9999992066,0.0000000000,-0.9999977815,2.0210164798e+11
13,1085,-0.9999992066,0.0000000000,1.0000002963,3.8228098852e+11
14,8,0.9999977815,0.0000000000,0.9999992066,4.1298642124e+11
14,1086,0.9999977815,0.0000000000,-0.9999992904,1.1947870728e+12
15,6,0.9999977815,0.0000000000,-0.9999977815,3.2754920976e+11
15,1088,0.9999977815,0.0000000000,1.0000002963,3.2754920976e+11
